name,nation,genre,director,actor,audits
라스트 갓파더,한국,['코미디'],['심형래'],"['심형래', '마이클 리스폴리', '하비 케이틀', '제이슨 미웨스', '조셀린 도나휴', '안소희']",12세이상관람가
황해,한국,"['스릴러', '액션', '범죄']",['나홍진'],"['김윤석', '하정우', '조성하', '이철민', '박윤호', '김기석', '박재홍', '안서현', '박창수', '노남석', '김기환', '백승철', '진명', '김봉주', '고해성', '장윤영', '권귀덕', '강민규', '임만규', '정명식', '임재민', '김재화', '김윤정', '박병은', '조재윤', '이엘', '이영수', '장소연', '이희준', '송원종', '정대용', '황석정', '유하복', '최욱', '손강국', '정만식', '공정환', '이유미']",청소년관람불가
해리 포터와 죽음의 성물1,미국,"['미스터리', '판타지']",['데이빗 예이츠'],"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",전체관람가
쩨쩨한 로맨스,한국,"['코미디', '멜로/로맨스']",['김정훈'],"['이선균', '최강희', '류현경', '오정세', '석정현', '조성환', '송유하', '최현숙', '추연규', '류지혜', '정구영', '박성일', '이원종', '최희진', '신동환', '조은지']",청소년관람불가
스카이 라인,미국,"['액션', '스릴러', 'SF']","['콜린 스트로즈', '그렉 스트로즈']","['에릭 벌포', '스카티 톰슨', '토니 블랙', '브리타니 다니엘', '크리스탈 리드', '닐 홉킨스', '데이빗 제야스']",12세이상관람가
부당거래,한국,"['범죄', '드라마']",['류승완'],"['황정민', '김승훈', '류승범', '유해진', '천호진', '마동석', '김원범', '최정현', '황병국', '조준현', '조철현', '박형준', '한동욱', '한상욱', '한성희', '류수경', '한재덕', '강유미', '서지영', '박광호', '박미숙', '박민정', '박민정', '박민정', '전봉수', '전진영', '박세준', '임정언', '권성현', '최우성', '온세웅', '연영식', '오상진', '김종민', '이춘연', '이유빈', '백승익', '오승현', '이채은', '이미도', '이희준', '오정세', '안길강', '김수현', '조영진', '정만식', '차은재']",청소년관람불가
초능력자,한국,"['SF', '드라마']",['김민석'],"['강동원', '김한나', '고수', '정은채', '윤다경', '최덕문', '김수남', '허명행', '강민서', '홍대성', '홍대성', '최장훈', '김윤하', '김한수', '황상길', '문용찬', '이미경', '채성원', '유동헌', '전상하', '윤정빈', '박아람', '오정택', '최윤석', '김대현', '김지원', '이형훈', '조덕제', '류아벨', '변희봉', '김광규', '김인권', '김소진', '이세랑']",15세이상관람가
심야의 F.M.,한국,"['스릴러', '범죄']",['김상만'],"['수애', '유지태', '정혜영', '김동협', '제정훈', '조영천', '김유화', '신다은', '송지인', '최다연', '정유미', '최용준', '김수홍', '김윤태', '정만식', '김규선']",청소년관람불가
시라노; 연애조작단,한국,"['멜로/로맨스', '코미디']",['김현석'],"['엄태웅', '이민정', '최다니엘', '박신혜', '박철민', '전아민', '송새벽', '류현경', '김유경', '박은성', '조재형', '송다은', '한대룡', '서대현', '김대인', '김상렬', '이병규', '유일한', '이미도', '이미소', '김지영', '이대연', '권해효']",12세이상관람가
아저씨,한국,"['액션', '드라마']",['이정범'],"['원빈', '김새론', '김희원', '김성오', '김태훈', '김호연', '류성훈', '김효민', '김효서', '신동민', '홍석준', '조영아', '홍의정', '이재원', '조용현', '박준우', '최현아', '황재순', '박혜리', '박호진', '홍소희', '노승우', '임효우', '이건문', '백현익', '서정주', '김도형', '민소연', '이상하', '박병렬', '장민주', '장준호', '박성택', '오정식', '정도원', '김창민', '양종현', '서민경', '김지민', '남경읍', '송영창', '이종필', '조재윤', '장준녕']",청소년관람불가
