yearWeekTime,rank,movieCd,movieNm,openDt,salesAmt,salesAcc,audiCnt,audiAcc,scrnCnt,showCnt
201051,4,20101221,쩨쩨한 로맨스,2010-12-01,2200418000,14823624000,287040,1937178,349,7942
201051,5,20101348,새미의 어드벤쳐,2010-12-15,2614891000,4877680000,274585,512057,299,5863
201051,6,20101200,김종욱 찾기,2010-12-08,1717130500,7572110500,236133,1036741,338,6667
201051,7,20101213,나니아 연대기: 새벽 출정호의 항해,2010-12-08,1729734500,10569099000,187796,1103913,354,5845
201051,8,20101378,쓰리 데이즈,2010-12-22,1165372000,1169832000,158777,159669,191,4167
201051,9,20101226,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,1097811500,1191040500,156309,168883,139,2245
201051,10,20101212,투어리스트,2010-12-09,624209000,6674807500,85833,894587,330,4520
201050,1,20101224,해리 포터와 죽음의 성물1,2010-12-15,7883559500,7883559500,1110980,1110980,717,15117
201050,2,20101221,쩨쩨한 로맨스,2010-12-01,3466559000,12623206000,455633,1650138,371,11799
201050,3,20101200,김종욱 찾기,2010-12-08,2812219500,5854980000,389766,800608,406,12026
201050,4,20101212,투어리스트,2010-12-09,2579864500,6050598500,348987,808754,397,12736
201050,5,20101213,나니아 연대기: 새벽 출정호의 항해,2010-12-08,2768058500,8839364500,293163,916117,439,12344
201050,6,20101348,새미의 어드벤쳐,2010-12-15,2032254000,2262789000,215433,237472,309,4921
201050,7,20101227,톨스토이의 마지막 인생,2010-12-15,249406000,252392000,33792,34219,105,2535
201050,8,20101014,워리어스 웨이,2010-12-01,114135500,3089561500,16249,430956,248,2399
201050,9,20101138,베리드,2010-12-08,112429500,444608000,15516,60773,112,1802
201050,10,20101113,이층의 악당,2010-11-24,97909000,4260014500,14325,595155,202,1463
201049,1,20101221,쩨쩨한 로맨스,2010-12-01,4493452000,9156647000,589022,1194505,418,13451
201049,2,20101213,나니아 연대기: 새벽 출정호의 항해,2010-12-08,5250717500,6071306000,550773,622954,493,11920
201049,3,20101212,투어리스트,2010-12-09,3470734000,3470734000,459767,459767,418,9155
201049,4,20101200,김종욱 찾기,2010-12-08,3003325000,3042760500,405648,410842,427,10760
201049,5,20101014,워리어스 웨이,2010-12-01,817304000,2975426000,117918,414707,382,9309
201049,6,20101113,이층의 악당,2010-11-24,531175500,4162105500,79352,580830,301,5385
201049,7,20101133,스카이 라인,2010-11-24,399410500,6290699500,58336,856053,289,5424
201049,8,20101138,베리드,2010-12-08,311421500,332178500,41992,45257,116,3200
201049,9,20101140,라스트 엑소시즘,2010-12-01,196391500,703786000,29832,100460,167,2822
201049,10,20100213,부당거래,2010-10-28,225825000,20964576500,29598,2718589,228,2220
201048,1,20101221,쩨쩨한 로맨스,2010-12-01,4621586000,4663195000,597831,605483,450,10604
201048,2,20101014,워리어스 웨이,2010-12-01,2125773000,2158122000,292395,296789,433,11165
201048,3,20101133,스카이 라인,2010-11-24,1814346000,5891289000,253389,797717,395,13065
201048,4,20101113,이층의 악당,2010-11-24,1567922000,3630930000,223433,501478,362,10358
201048,5,20100213,부당거래,2010-10-28,871810500,20738751500,113850,2688991,253,5572
201048,6,20101010,초능력자,2010-11-10,667269500,15249631000,97217,2111567,308,7289
201048,7,20101213,나니아 연대기: 새벽 출정호의 항해,2010-12-08,820588500,820588500,72181,72181,173,956
201048,8,20101140,라스트 엑소시즘,2010-12-01,507394500,507394500,70628,70628,171,4723
201048,9,20101013,소셜 네트워크,2010-11-18,464446500,3638437000,65008,493534,248,3517
201048,10,20101118,스위치,2010-12-01,390396000,405224000,55658,58645,162,4152
201047,1,20101133,스카이 라인,2010-11-24,4074675000,4076943000,544004,544328,427,12328
201047,2,20101010,초능력자,2010-11-10,1994184000,14582361500,277341,2014350,464,13057
201047,3,20101113,이층의 악당,2010-11-24,2034735000,2063008000,274356,278045,379,9572
